lead_id,lead_time,first_response_time,response_time_mins,lead_source,sales_rep,ordered
LEAD_003671,2025-10-23 20:11:29.411950,2025-10-23 20:14:18.425998,2.8,Website Form,Rep_06,0
LEAD_009170,2025-10-23 20:14:33.028362,2025-10-23 20:41:47.400923,27.2,Website Form,Rep_10,0
LEAD_002639,2025-10-23 20:57:44.318661,2025-10-23 21:38:06.254768,40.4,Third Party Lead,Rep_12,0
LEAD_007208,2025-10-23 20:57:57.920873,2025-10-23 21:01:33.395244,3.6,Website Form,Rep_08,0
LEAD_007367,2025-10-23 21:17:07.791452,2025-10-23 21:47:44.848688,30.6,Phone Call,Rep_01,0
LEAD_002348,2025-10-23 21:18:53.618218,2025-10-23 22:30:11.672692,71.3,Website Form,Rep_04,0
LEAD_001143,2025-10-23 21:19:41.675139,2025-10-24 01:53:14.564167,273.5,Walk-in,Rep_07,0
LEAD_008154,2025-10-23 21:20:09.344918,2025-10-23 21:39:19.534196,19.2,Third Party Lead,Rep_07,0
LEAD_007247,2025-10-23 21:24:04.603295,2025-10-23 21:25:53.034680,1.8,Walk-in,Rep_10,0
LEAD_001172,2025-10-23 21:30:47.443288,2025-10-23 21:35:43.069910,4.9,Third Party Lead,Rep_04,0
LEAD_009972,2025-10-23 21:40:13.815878,2025-10-24 00:31:25.475052,171.2,Third Party Lead,Rep_04,0
LEAD_006510,2025-10-23 21:59:21.742970,2025-10-24 00:17:55.087091,138.6,Walk-in,Rep_02,0
LEAD_006317,2025-10-23 22:09:46.364416,2025-10-23 22:18:43.026085,8.9,Walk-in,Rep_07,1
LEAD_009035,2025-10-23 22:09:53.628239,2025-10-23 23:34:11.513289,84.3,Phone Call,Rep_08,0
LEAD_009215,2025-10-23 22:17:24.433592,2025-10-23 22:28:18.756311,10.9,Dealer Referral,Rep_05,0
LEAD_004075,2025-10-23 22:28:17.203817,2025-10-23 22:44:52.081409,16.6,Walk-in,Rep_01,0
LEAD_004282,2025-10-23 22:41:00.519556,2025-10-23 22:53:35.113535,12.6,Walk-in,Rep_01,0
LEAD_004910,2025-10-23 22:41:00.922392,2025-10-23 23:16:41.821960,35.7,Phone Call,Rep_06,1
LEAD_005018,2025-10-23 22:50:09.458765,2025-10-24 00:22:24.472753,92.3,Website Form,Rep_11,0
LEAD_001905,2025-10-23 23:07:09.088125,2025-10-23 23:20:22.247712,13.2,Walk-in,Rep_05,0
LEAD_009637,2025-10-23 23:08:12.847246,2025-10-24 07:08:12.847246,480.0,Third Party Lead,Rep_08,0
LEAD_008589,2025-10-23 23:08:51.685641,2025-10-24 04:04:55.768623,296.1,Phone Call,Rep_06,0
LEAD_006377,2025-10-23 23:09:26.774557,2025-10-23 23:11:38.231836,2.2,Walk-in,Rep_09,1
LEAD_009360,2025-10-23 23:17:24.387774,2025-10-23 23:55:14.421183,37.8,Walk-in,Rep_01,0
LEAD_002143,2025-10-23 23:20:59.571564,2025-10-23 23:31:17.315885,10.3,Walk-in,Rep_09,0
LEAD_008383,2025-10-23 23:35:35.194978,2025-10-24 00:02:17.176701,26.7,Walk-in,Rep_12,0
LEAD_009896,2025-10-23 23:46:34.318736,2025-10-24 00:13:36.960938,27.0,Website Form,Rep_10,0
LEAD_009132,2025-10-23 23:49:59.526241,2025-10-24 00:15:31.323519,25.5,Walk-in,Rep_06,0
LEAD_000792,2025-10-23 23:50:46.385086,2025-10-24 00:33:16.878877,42.5,Phone Call,Rep_06,0
LEAD_004283,2025-10-23 23:53:44.063310,2025-10-24 01:52:12.587830,118.5,Website Form,Rep_04,0
LEAD_004579,2025-10-24 00:16:17.938217,2025-10-24 00:36:01.015006,19.7,Third Party Lead,Rep_02,0
LEAD_009062,2025-10-24 00:27:30.290188,2025-10-24 00:33:10.212497,5.7,Third Party Lead,Rep_11,0
LEAD_008015,2025-10-24 00:37:24.267095,2025-10-24 01:47:00.852578,69.6,Walk-in,Rep_01,0
LEAD_004580,2025-10-24 00:41:30.437658,2025-10-24 00:59:40.479509,18.2,Phone Call,Rep_02,0
LEAD_008269,2025-10-24 00:44:40.647582,2025-10-24 08:44:40.647582,480.0,Phone Call,Rep_02,0
LEAD_005437,2025-10-24 00:48:34.239687,2025-10-24 00:55:56.844335,7.4,Website Form,Rep_05,0
LEAD_001683,2025-10-24 01:01:58.376585,2025-10-24 02:48:49.045069,106.8,Phone Call,Rep_02,0
LEAD_002442,2025-10-24 01:05:18.424990,2025-10-24 01:35:23.026517,30.1,Phone Call,Rep_02,0
LEAD_000363,2025-10-24 01:13:14.033697,2025-10-24 01:32:31.343836,19.3,Phone Call,Rep_05,0
LEAD_006954,2025-10-24 01:39:29.718733,2025-10-24 09:00:05.848711,440.6,Dealer Referral,Rep_11,0
LEAD_004046,2025-10-24 01:48:01.943594,2025-10-24 02:36:35.831807,48.6,Website Form,Rep_03,0
LEAD_006597,2025-10-24 01:55:37.200524,2025-10-24 02:17:15.937173,21.6,Website Form,Rep_03,0
LEAD_006175,2025-10-24 02:22:26.906589,2025-10-24 02:48:03.820373,25.6,Phone Call,Rep_04,0
LEAD_001057,2025-10-24 02:27:52.444930,2025-10-24 02:32:41.849692,4.8,Walk-in,Rep_02,0
LEAD_001678,2025-10-24 02:30:10.544442,2025-10-24 02:39:25.363946,9.2,Website Form,Rep_12,0
LEAD_008372,2025-10-24 02:33:05.733023,2025-10-24 03:04:19.889759,31.2,Website Form,Rep_04,0
LEAD_007311,2025-10-24 02:48:49.412694,2025-10-24 05:09:59.617941,141.2,Third Party Lead,Rep_10,0
LEAD_000946,2025-10-24 02:55:19.272976,2025-10-24 02:57:50.701975,2.5,Dealer Referral,Rep_11,1
LEAD_005861,2025-10-24 02:58:52.911859,2025-10-24 03:15:45.863280,16.9,Phone Call,Rep_07,0
LEAD_008229,2025-10-24 03:05:45.492955,2025-10-24 03:08:47.884069,3.0,Phone Call,Rep_06,0
LEAD_008159,2025-10-24 03:07:10.487711,2025-10-24 03:25:50.070721,18.7,Website Form,Rep_06,0
LEAD_008793,2025-10-24 03:08:05.714961,2025-10-24 03:26:49.702918,18.7,Website Form,Rep_07,1
LEAD_004369,2025-10-24 03:12:49.878393,2025-10-24 04:53:46.824733,100.9,Website Form,Rep_11,0
LEAD_004362,2025-10-24 03:16:37.827973,2025-10-24 07:44:11.531525,267.6,Phone Call,Rep_04,0
LEAD_004222,2025-10-24 03:17:55.380793,2025-10-24 04:44:47.724264,86.9,Phone Call,Rep_03,0
LEAD_004914,2025-10-24 03:19:55.763653,2025-10-24 03:56:14.963204,36.3,Website Form,Rep_11,0
LEAD_006367,2025-10-24 03:40:22.139181,2025-10-24 03:44:46.060059,4.4,Website Form,Rep_11,0
LEAD_007442,2025-10-24 03:57:16.447484,2025-10-24 04:02:58.603249,5.7,Dealer Referral,Rep_07,0
LEAD_001714,2025-10-24 03:58:47.220587,2025-10-24 06:10:55.290121,132.1,Phone Call,Rep_04,1
LEAD_006881,2025-10-24 04:04:13.290735,2025-10-24 09:07:52.175645,303.6,Walk-in,Rep_12,0
LEAD_004032,2025-10-24 04:11:11.598339,2025-10-24 04:28:54.995124,17.7,Website Form,Rep_03,0
LEAD_004587,2025-10-24 04:16:11.053653,2025-10-24 04:33:59.232224,17.8,Website Form,Rep_10,0
LEAD_005118,2025-10-24 04:21:42.946608,2025-10-24 05:56:00.022683,94.3,Phone Call,Rep_10,0
LEAD_007783,2025-10-24 04:26:21.494071,2025-10-24 07:04:34.006368,158.2,Third Party Lead,Rep_06,0
LEAD_000853,2025-10-24 04:27:33.603129,2025-10-24 04:29:11.693760,1.6,Website Form,Rep_08,0
LEAD_004686,2025-10-24 04:35:22.680954,2025-10-24 05:20:11.432007,44.8,Website Form,Rep_02,0
LEAD_009266,2025-10-24 04:40:13.013586,2025-10-24 04:53:07.492518,12.9,Dealer Referral,Rep_03,0
LEAD_006406,2025-10-24 04:43:57.574502,2025-10-24 06:54:22.309032,130.4,Third Party Lead,Rep_09,0
LEAD_004411,2025-10-24 04:56:42.075982,2025-10-24 12:56:42.075982,480.0,Dealer Referral,Rep_09,1
LEAD_007282,2025-10-24 04:58:55.497268,2025-10-24 05:04:00.040321,5.1,Dealer Referral,Rep_04,0
LEAD_009111,2025-10-24 05:11:20.125926,2025-10-24 05:33:11.150535,21.9,Third Party Lead,Rep_07,0
LEAD_004633,2025-10-24 05:14:46.123228,2025-10-24 05:33:06.907271,18.3,Third Party Lead,Rep_10,0
LEAD_005589,2025-10-24 05:15:22.286879,2025-10-24 06:17:52.568942,62.5,Third Party Lead,Rep_08,0
LEAD_005524,2025-10-24 05:35:12.081217,2025-10-24 06:25:47.537375,50.6,Phone Call,Rep_11,0
LEAD_005117,2025-10-24 05:48:30.458891,2025-10-24 07:16:32.209820,88.0,Phone Call,Rep_02,0
LEAD_001596,2025-10-24 05:56:38.171642,2025-10-24 06:22:26.153926,25.8,Phone Call,Rep_05,0
LEAD_002608,2025-10-24 06:05:25.627350,2025-10-24 06:52:04.741634,46.7,Website Form,Rep_06,0
LEAD_006617,2025-10-24 06:14:51.647825,2025-10-24 12:18:12.252777,363.3,Website Form,Rep_07,0
LEAD_005680,2025-10-24 06:16:53.741170,2025-10-24 08:22:41.552050,125.8,Website Form,Rep_11,0
LEAD_001535,2025-10-24 06:18:24.656152,2025-10-24 06:31:09.580208,12.7,Website Form,Rep_03,0
LEAD_005708,2025-10-24 06:29:29.312046,2025-10-24 07:24:16.210006,54.8,Website Form,Rep_07,0
LEAD_000619,2025-10-24 06:39:49.612937,2025-10-24 06:53:18.940221,13.5,Third Party Lead,Rep_10,0
LEAD_005628,2025-10-24 06:40:24.249555,2025-10-24 06:46:32.050963,6.1,Website Form,Rep_11,0
LEAD_004185,2025-10-24 06:57:09.666387,2025-10-24 14:57:09.666387,480.0,Website Form,Rep_08,0
LEAD_002665,2025-10-24 07:04:59.594930,2025-10-24 09:39:52.712650,154.9,Phone Call,Rep_01,0
LEAD_004189,2025-10-24 07:09:05.290022,2025-10-24 11:35:38.617508,266.6,Walk-in,Rep_01,0
LEAD_002324,2025-10-24 07:12:32.986888,2025-10-24 07:33:09.500424,20.6,Website Form,Rep_10,0
LEAD_004038,2025-10-24 07:24:07.492628,2025-10-24 08:16:03.744801,51.9,Walk-in,Rep_09,0
LEAD_004119,2025-10-24 07:47:52.692186,2025-10-24 08:25:11.868345,37.3,Website Form,Rep_01,0
LEAD_003453,2025-10-24 07:57:38.239205,2025-10-24 08:00:04.922131,2.4,Walk-in,Rep_08,0
LEAD_005762,2025-10-24 08:01:01.366540,2025-10-24 08:14:54.875464,13.9,Third Party Lead,Rep_03,0
LEAD_003385,2025-10-24 08:08:46.977707,2025-10-24 10:14:18.848702,125.5,Dealer Referral,Rep_09,0
LEAD_005936,2025-10-24 08:10:23.561584,2025-10-24 08:30:29.243360,20.1,Walk-in,Rep_10,1
LEAD_006023,2025-10-24 08:21:14.082262,2025-10-24 08:50:21.713942,29.1,Third Party Lead,Rep_06,0
LEAD_002136,2025-10-24 08:37:34.940861,2025-10-24 12:11:29.287718,213.9,Third Party Lead,Rep_07,0
LEAD_000533,2025-10-24 08:37:49.169921,2025-10-24 08:45:36.571536,7.8,Third Party Lead,Rep_08,0
LEAD_008998,2025-10-24 09:00:31.820183,2025-10-24 10:22:13.514967,81.7,Third Party Lead,Rep_01,0
LEAD_005906,2025-10-24 09:04:08.144607,2025-10-24 09:15:49.674756,11.7,Phone Call,Rep_03,1
LEAD_009468,2025-10-24 09:04:09.748706,2025-10-24 09:07:51.581123,3.7,Third Party Lead,Rep_07,0
LEAD_009275,2025-10-24 09:22:29.630960,2025-10-24 09:53:01.692555,30.5,Walk-in,Rep_07,0
LEAD_000511,2025-10-24 09:22:55.663450,2025-10-24 12:05:40.072058,162.7,Phone Call,Rep_01,0
LEAD_004455,2025-10-24 09:28:18.034960,2025-10-24 09:54:42.080685,26.4,Third Party Lead,Rep_06,0
LEAD_006119,2025-10-24 09:34:04.572557,2025-10-24 09:45:41.443776,11.6,Website Form,Rep_10,0
LEAD_008451,2025-10-24 09:49:32.191914,2025-10-24 10:02:29.807415,13.0,Walk-in,Rep_03,1
LEAD_007173,2025-10-24 09:51:32.257057,2025-10-24 09:56:48.232117,5.3,Website Form,Rep_10,0
LEAD_000385,2025-10-24 10:13:02.832085,2025-10-24 10:51:58.239681,38.9,Walk-in,Rep_12,0
LEAD_007775,2025-10-24 10:21:21.624617,2025-10-24 10:39:30.412009,18.1,Website Form,Rep_05,0
LEAD_008884,2025-10-24 10:30:58.417652,2025-10-24 10:36:13.069691,5.2,Website Form,Rep_05,0
LEAD_000637,2025-10-24 10:36:09.407816,2025-10-24 10:42:52.247832,6.7,Phone Call,Rep_02,0
LEAD_001448,2025-10-24 10:41:59.901062,2025-10-24 10:59:42.269632,17.7,Third Party Lead,Rep_11,0
LEAD_000990,2025-10-24 10:49:39.098023,2025-10-24 11:45:20.160052,55.7,Third Party Lead,Rep_09,0
LEAD_002710,2025-10-24 11:13:59.027700,2025-10-24 12:04:28.732891,50.5,Website Form,Rep_02,0
LEAD_000912,2025-10-24 11:18:00.887103,2025-10-24 11:45:49.001971,27.8,Website Form,Rep_11,0
LEAD_004997,2025-10-24 11:45:01.362020,2025-10-24 12:38:22.385170,53.4,Website Form,Rep_02,0
LEAD_004659,2025-10-24 12:01:54.821393,2025-10-24 12:15:34.726951,13.7,Website Form,Rep_06,0
LEAD_005094,2025-10-24 12:03:15.488011,2025-10-24 12:34:13.187643,31.0,Website Form,Rep_11,0
LEAD_006541,2025-10-24 12:08:09.500429,2025-10-24 12:37:20.856500,29.2,Website Form,Rep_09,0
LEAD_004796,2025-10-24 12:30:57.275036,2025-10-24 12:39:17.104042,8.3,Website Form,Rep_10,0
LEAD_008224,2025-10-24 12:33:11.778112,2025-10-24 12:42:52.455342,9.7,Third Party Lead,Rep_07,0
LEAD_006738,2025-10-24 12:46:11.215001,2025-10-24 12:55:49.084662,9.6,Dealer Referral,Rep_06,1
LEAD_009599,2025-10-24 12:59:39.751538,2025-10-24 14:18:41.480049,79.0,Website Form,Rep_09,0
LEAD_007510,2025-10-24 13:01:55.362595,2025-10-24 13:52:33.358768,50.6,Third Party Lead,Rep_07,0
LEAD_004084,2025-10-24 13:07:07.537936,2025-10-24 14:57:09.114545,110.0,Walk-in,Rep_04,0
LEAD_003954,2025-10-24 13:09:30.494728,2025-10-24 13:30:51.320993,21.3,Website Form,Rep_03,0
LEAD_007181,2025-10-24 13:11:43.685658,2025-10-24 13:42:55.730263,31.2,Website Form,Rep_07,0
LEAD_008601,2025-10-24 13:17:02.118136,2025-10-24 14:31:20.748291,74.3,Website Form,Rep_10,0
LEAD_001514,2025-10-24 13:21:56.471514,2025-10-24 14:25:12.128988,63.3,Dealer Referral,Rep_05,1
LEAD_005379,2025-10-24 13:34:16.302988,2025-10-24 14:07:51.000420,33.6,Third Party Lead,Rep_03,1
LEAD_008199,2025-10-24 13:36:21.360513,2025-10-24 14:14:50.053344,38.5,Phone Call,Rep_05,0
LEAD_002485,2025-10-24 13:37:41.455659,2025-10-24 13:43:32.337734,5.8,Phone Call,Rep_05,0
LEAD_006933,2025-10-24 13:44:48.627526,2025-10-24 14:04:56.942803,20.1,Website Form,Rep_04,0
LEAD_004347,2025-10-24 13:53:02.052350,2025-10-24 13:56:18.328295,3.3,Walk-in,Rep_03,1
LEAD_006592,2025-10-24 13:53:19.892848,2025-10-24 14:17:53.969338,24.6,Website Form,Rep_02,0
LEAD_007688,2025-10-24 14:12:35.184169,2025-10-24 14:14:22.508922,1.8,Website Form,Rep_03,0
LEAD_004049,2025-10-24 14:13:58.195235,2025-10-24 14:48:44.012837,34.8,Third Party Lead,Rep_01,0
LEAD_006676,2025-10-24 14:15:48.289443,2025-10-24 15:31:03.176572,75.2,Third Party Lead,Rep_08,0
LEAD_008984,2025-10-24 14:22:41.376205,2025-10-24 15:20:29.821811,57.8,Phone Call,Rep_03,0
LEAD_008754,2025-10-24 14:22:52.449725,2025-10-24 14:41:27.557528,18.6,Website Form,Rep_03,0
LEAD_003768,2025-10-24 14:24:20.068288,2025-10-24 14:27:32.297558,3.2,Website Form,Rep_05,0
LEAD_005500,2025-10-24 14:28:51.110575,2025-10-24 15:27:04.304764,58.2,Phone Call,Rep_11,0
LEAD_006907,2025-10-24 14:40:47.485106,2025-10-24 14:44:17.048689,3.5,Website Form,Rep_05,0
LEAD_008446,2025-10-24 14:41:13.646594,2025-10-24 15:38:22.922796,57.2,Walk-in,Rep_11,0
LEAD_008821,2025-10-24 14:42:06.827471,2025-10-24 18:44:09.030438,242.0,Dealer Referral,Rep_02,0
LEAD_008898,2025-10-24 15:06:11.512990,2025-10-24 17:58:29.014817,172.3,Phone Call,Rep_01,0
LEAD_001176,2025-10-24 15:14:04.992263,2025-10-24 15:51:36.375339,37.5,Phone Call,Rep_06,0
LEAD_007375,2025-10-24 15:40:32.000184,2025-10-24 17:10:43.372795,90.2,Website Form,Rep_12,0
LEAD_008376,2025-10-24 16:07:04.859742,2025-10-24 16:38:29.654434,31.4,Website Form,Rep_10,0
LEAD_000333,2025-10-24 16:14:18.004492,2025-10-24 16:23:14.840299,8.9,Dealer Referral,Rep_03,0
LEAD_009429,2025-10-24 16:18:57.187075,2025-10-24 16:22:10.091737,3.2,Website Form,Rep_09,0
LEAD_005158,2025-10-24 16:27:13.445617,2025-10-24 16:40:27.125941,13.2,Walk-in,Rep_09,0
LEAD_002504,2025-10-24 16:33:48.408119,2025-10-24 17:37:57.867191,64.2,Third Party Lead,Rep_07,0
LEAD_005044,2025-10-24 16:53:03.498830,2025-10-24 17:20:42.350394,27.6,Walk-in,Rep_09,0
LEAD_004385,2025-10-24 16:57:58.579834,2025-10-24 17:10:44.049132,12.8,Third Party Lead,Rep_06,0
LEAD_003398,2025-10-24 17:01:43.093604,2025-10-24 17:57:38.596281,55.9,Third Party Lead,Rep_04,1
LEAD_004694,2025-10-24 17:04:44.013053,2025-10-24 17:07:28.657873,2.7,Phone Call,Rep_09,0
LEAD_000355,2025-10-24 17:11:14.685771,2025-10-24 17:21:09.929187,9.9,Dealer Referral,Rep_05,0
LEAD_008502,2025-10-24 17:16:52.449194,2025-10-24 17:33:11.332359,16.3,Website Form,Rep_08,0
LEAD_008324,2025-10-24 17:26:42.963133,2025-10-24 17:31:57.034994,5.2,Website Form,Rep_11,0
LEAD_002290,2025-10-24 17:28:51.169315,2025-10-24 17:44:16.614719,15.4,Website Form,Rep_05,0
LEAD_009119,2025-10-24 18:06:49.444555,2025-10-24 18:12:02.974585,5.2,Third Party Lead,Rep_11,0
LEAD_006071,2025-10-24 18:10:57.203691,2025-10-24 20:17:11.442297,126.2,Third Party Lead,Rep_12,0
LEAD_002166,2025-10-24 18:23:55.020988,2025-10-24 18:27:50.923146,3.9,Third Party Lead,Rep_10,0
LEAD_003598,2025-10-24 18:52:42.727101,2025-10-24 18:55:37.898906,2.9,Phone Call,Rep_11,1
LEAD_001516,2025-10-24 19:08:50.937380,2025-10-24 20:32:47.277587,83.9,Dealer Referral,Rep_04,0
LEAD_005422,2025-10-24 19:15:37.629004,2025-10-24 19:41:48.092275,26.2,Website Form,Rep_05,0
LEAD_000361,2025-10-24 19:19:31.271406,2025-10-24 20:58:45.483419,99.2,Website Form,Rep_01,0
LEAD_001312,2025-10-24 19:21:53.238244,2025-10-24 21:18:28.736416,116.6,Third Party Lead,Rep_04,0
LEAD_007216,2025-10-24 19:25:29.207831,2025-10-24 19:54:34.287425,29.1,Phone Call,Rep_01,0
